k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;0.214543;1.01552;0.00083606;0.00946816;0.367637;0.00165084;0.0860234;0.138891;0.0229572;0.00034946;0.00764762;5.24194;0.00083492;0.187766;25.9719;0.00046824;0.0011738
10;0.324413;1.87247;0.00526272;0.0355434;0.753844;0.00451368;0.304694;0.214679;0.0809754;0.00091158;0.0227586;37.7762;0.00265032;0.273302;45.2481;0.00127128;0.00394994
100;0.420065;2.27653;0.00683592;0.0433539;1.30392;0.00609296;0.309771;0.221164;0.0810231;0.00423254;0.0337696;40.8858;0.00641098;0.582844;49.2245;0.00140698;0.00406274
1000;0.449809;2.81735;0.00881276;0.0458129;1.33596;0.00609688;0.313754;0.221174;0.0811783;0.00566438;0.0741839;41.6676;0.0147556;1.44365;63.0263;0.00144164;0.00459928
10000;0.530788;2.81592;0.0124957;0.051582;1.34557;0.00610792;0.311709;0.223428;0.0814206;0.00724844;0.0739713;41.5906;0.0206247;1.64819;67.2743;0.00145168;0.0045947
100000;0.541603;2.80827;0.0203899;0.0516379;1.34895;0.00608402;0.311452;0.221993;0.0813101;0.00739442;0.0737416;41.7873;0.0366539;1.73089;67.2666;0.00145144;0.0046167
1000000;0.540705;2.80928;0.0360554;0.0515371;1.34494;0.00605898;0.320626;0.220913;0.0816925;0.00740242;0.0733585;41.806;0.0417556;1.80333;68.0027;0.00144762;0.00459796
k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;0.507457;2.988;0.0358912;0.0505378;1.34744;0.00616934;0.324873;0.228635;0.0842675;0.00687076;0.0731483;10.4852;0.0384056;2.0997;33.9047;0.00155214;0.00471246;
10;0.50899;2.99466;0.0357315;0.0505936;1.35512;0.0061807;0.323835;0.229492;0.084261;0.00684062;0.0730858;10.4388;0.0379663;2.10291;34.0344;0.00155558;0.0046972;
100;0.509909;2.97776;0.0356815;0.0505894;1.3553;0.0061699;0.323975;0.229441;0.085181;0.00684324;0.0727967;10.4446;0.0380616;2.1033;34.6154;0.00155336;0.00468548;
1000;0.5109;2.99326;0.035754;0.0506028;1.35555;0.00619474;0.324184;0.229265;0.0851058;0.0068513;0.0728927;10.4661;0.03835;2.11488;34.4617;0.0017217;0.00489966;
