k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;1.70333;12.5378;0.00538386;0.13334;3.56215;0.0227554;1.52471;1.77343;0.284872;0.00206128;0.0496684;215.443;0.003869;1.47786;145.661;0.00353852;0.0143584
10;2.8393;21.82;0.0337515;0.346552;8.4195;0.0591326;4.26938;2.74736;1.07388;0.00689556;0.225949;445.576;0.0134337;2.46346;451.211;0.0112868;0.0465491
100;3.7044;28.2625;0.0499704;0.420246;14.5628;0.0769226;4.40018;2.82394;1.08159;0.0251066;0.336885;461.809;0.0375041;4.82787;476.343;0.0135724;0.0491069
1000;4.02658;35.7624;0.0651828;0.464733;14.8809;0.0802814;4.43656;2.83133;1.0854;0.0323811;0.743776;465.751;0.0937836;11.9191;641.551;0.0135658;0.0554711
k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;1.8138;13.074;0.0053732;0.13704;3.75498;0.0224842;1.615;1.8807;0.300556;0.00224948;0.0527218;87.6642;0.00421172;1.59262;45.159;0.00381172;0.015388;
10;3.06212;22.72;0.0370915;0.370671;8.79801;0.0620192;4.47167;2.90136;1.13272;0.00751214;0.237929;106.374;0.0146939;2.66417;161.704;0.0122733;0.0496528;
100;3.99405;29.211;0.0544366;0.449397;15.2548;0.0805397;4.60312;2.98227;1.13522;0.0270399;0.355962;122.877;0.0364779;5.15022;189.906;0.0139987;0.0513441;
1000;4.28706;37.9538;0.0674696;0.47982;16.1738;0.082116;4.6193;2.99978;1.13943;0.0322162;0.771626;129.036;0.0922857;12.9826;264.704;0.0143366;0.0569625;
