k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;3.37004;25.049;0.108551;0.360621;10.445;0.0611861;3.34602;2.31132;0.744281;0.0208626;0.318716;23.7347;0.0964391;5.88584;125.817;0.0103902;0.0447645
10;5.20138;31.3503;0.125778;0.491108;17.125;0.0799372;5.2457;3.60735;1.28368;0.0254913;0.475567;38.5124;0.102354;7.33045;239.474;0.0140743;0.0585754
100;5.41462;33.381;0.139252;0.541457;19.455;0.0879545;5.3054;3.59303;1.27314;0.0387474;0.564897;70.976;0.127589;9.55292;274.41;0.014949;0.0604047
1000;5.76097;47.5895;0.14639;0.572423;19.4917;0.0882134;5.28743;3.57312;1.27421;0.043717;0.901549;80.2152;0.190872;18.0586;265.357;0.015363;0.0648494
k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;3.69248;26.8036;0.126777;0.392648;11.38;0.0660273;3.64796;2.52968;0.811031;0.0227412;0.348978;25.4093;0.109138;6.58292;133.182;0.0113617;0.0482333;
10;5.50547;33.5551;0.139487;0.530236;18.5536;0.0859621;5.67598;3.90118;1.41012;0.0275281;0.496855;41.214;0.114394;8.11306;252.438;0.0157071;0.0645405;
100;6.01711;35.9665;0.157091;0.591714;20.9889;0.0983941;6.03077;4.04014;1.39454;0.042991;0.637254;142.013;0.560409;20.512;288.375;0.0161938;0.0652352;
1000;6.32182;50.9331;0.163927;0.625653;21.3223;0.096807;5.75398;4.01449;1.40742;0.048762;0.976132;86.6655;0.195914;19.6844;775.655;0.0166691;0.0674408;
