k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;1824195;310959;190028;244391;7302167;0;0;9447;0;37023;1343686;4380465;283600;10357456;0;0;0
10;1852343;313671;193625;260551;22120884;0;0;9507;0;38398;1702702;4392018;300637;12141414;0;0;0
100;2044503;388371;202766;269897;22126483;0;0;10153;0;50012;3938946;4486770;357159;14698371;0;0;0
1000;3544724;966230;250056;415815;22126483;0;0;16301;0;99948;22231286;5540761;618332;39678475;0;0;0
k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;1800991;418065;191466;247616;7808004;0;0;9449;0;36760;1415946;4381870;297790;11176086;0;0;0;
10;1844116;420388;197807;254107;21569099;0;0;9498;0;38913;1583560;4403016;300627;11573716;0;0;0;
100;2076609;561673;204839;281706;22126483;0;0;10124;0;49544;4315488;4501361;395649;14775851;0;0;0;
1000;3487167;980314;244443;435059;22126483;0;0;16493;0;107015;22231286;5354135;622868;42266771;0;0;0;
