k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;3199534;1011418;23411;235803;18728938;0;0;2242;0;6611;245805;6301837;35415;18852785;0;0;0
10;4270607;1281050;41245;269996;22126474;0;0;4026;0;23530;3514753;20545525;70376;22358390;0;0;0
100;6344299;1442315;96180;384356;22126483;0;0;11316;0;58277;11001936;36895818;250288;37833334;0;0;0
1000;10424586;2535331;241881;680629;22126483;0;0;0;0;140460;22231286;43682009;763470;59093785;0;0;0
k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;1842992;1562911;22207;219905;18698588;0;0;2289;0;5584;245671;6293974;32414;20981194;0;0;0;
10;2655435;1578582;37735;254820;22126296;0;0;3740;0;19554;2282486;20236406;60409;22947479;0;0;0;
100;4941630;1677917;90754;366267;22126483;0;0;10139;0;54232;9979998;36218162;214763;44051297;0;0;0;
1000;8417027;1967001;235794;659024;22126483;0;0;29950;0;132708;22231286;42937638;690644;60568979;0;0;0;
