k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;3199534;2535331;241881;680629;22126483;0;0;0;0;140460;22231286;43682009;763470;59093785;0;0;0;
10;3199534;2535331;241881;680629;22126483;0;0;0;0;140460;22231286;43682009;763470;59093785;0;0;0;
100;3199534;2535331;241881;680629;22126483;0;0;0;0;140460;22231286;43682009;763470;59093785;0;0;0;
1000;3199534;2535331;241881;680629;22126483;0;0;0;0;140460;22231286;43682009;763470;59093785;0;0;0;
k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;3199534;2535331;241881;680629;22126483;0;0;0;0;140460;22231286;43682009;763470;59093785;0;0;0;
10;3199534;2535331;241881;680629;22126483;0;0;0;0;140460;22231286;43682009;763470;59093785;0;0;0;
100;3199534;2535331;241881;680629;22126483;0;0;0;0;140460;22231286;43682009;763470;59093785;0;0;0;
1000;3199534;2535331;241881;680629;22126483;0;0;0;0;140460;22231286;43682009;763470;59093785;0;0;0;
k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;
