k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;4959028;1405670;32675;361494;19668888;0;0;4341;0;29727;6903825;11314938;217383;27188261;0;0;0
10;5510446;1466028;32675;387854;22126211;0;0;6567;0;42936;9142579;17254910;266009;27647234;0;0;0
100;6305725;1772177;32675;464414;22126490;0;0;11879;0;67726;14122326;20483445;403670;36040056;0;0;0
1000;8977963;2683823;32675;683815;22126490;0;0;0;0;152519;22232092;28547232;768307;49003455;0;0;0
k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;4110459;1414544;32574;349714;19632304;0;0;4341;0;28132;6691259;11314932;216155;27151037;0;0;0;
10;4463070;1468640;32574;368368;22122438;0;0;5970;0;38637;8180751;17254910;258086;27561812;0;0;0;
100;5137847;1773835;32574;446780;22126490;0;0;10295;0;62537;12899478;20047144;379816;35874458;0;0;0;
1000;6901220;1872933;32574;656519;22126490;0;0;22702;0;140224;22232092;27561144;706190;48987211;0;0;0;
