k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;4110459;1414544;32580;351238;19632304;0;0;4341;0;28132;6691259;11314937;216155;27151037;0;0;0
10;4489832;1468640;44640;387417;22122438;0;0;5970;0;38497;8180751;17276655;261126;27561812;0;0;0
100;5132403;1773563;98680;451713;22126490;0;0;10295;0;63044;12899478;20116204;392163;35876744;0;0;0
1000;6811703;1872845;270168;656520;22126490;0;0;22702;0;140241;22232092;27620386;723444;48987169;0;0;0
k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;4110459;1414544;32580;351238;19632304;0;0;4341;0;28132;6691259;11314937;216155;27151037;0;0;0;
10;4489832;1468640;44640;387417;22122438;0;0;5970;0;38497;8180751;17276655;261126;27561812;0;0;0;
100;5132403;1773563;98680;451713;22126490;0;0;10295;0;63044;12899478;20116204;392163;35876744;0;0;0;
1000;6811703;1872845;270168;656520;22126490;0;0;22702;0;140241;22232092;27620386;723444;48987169;0;0;0;
