k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;5.93455;49.4329;0.0824105;0.726512;19.6508;0.145864;7.05052;4.84127;1.84185;0.023634;0.415015;709.313;0.0460847;7.75328;860.738;0.0232672;0.0915907
10;6.44345;52.9471;0.111195;0.785137;23.5346;0.143969;7.4079;4.92493;1.81584;0.0407229;0.728047;757.384;0.0810218;11.6576;968.267;0.0249071;0.091636
100;7.07973;63.7434;0.13715;0.824082;26.7851;0.145051;7.35374;4.93803;1.82561;0.053929;0.999027;756.853;0.141643;17.2964;1014.39;0.0248082;0.095337
1000;7.47313;65.6494;0.182958;0.856641;26.8024;0.145481;7.35668;4.95133;1.82011;0.0636513;1.16371;761.031;0.214817;20.2764;1062.11;0.0248804;0.0950051
k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;6.19791;50.1646;0.0802837;0.706259;20.0784;0.137801;7.32489;5.02946;1.87655;0.0228328;0.392911;191.008;0.0454447;8.23517;320.483;0.0233049;0.0886542;
10;6.82888;54.0554;0.115924;0.807237;24.5311;0.149015;7.74876;5.20109;1.90887;0.0409001;0.737874;210.029;0.0888352;12.5521;378.751;0.0262405;0.0951129;
100;7.52212;64.4806;0.143301;0.851052;27.7955;0.148049;7.70656;5.18331;1.90411;0.0542336;1.03059;216.505;0.142904;18.8577;390.22;0.0267435;0.0986189;
1000;7.93344;66.3654;0.193151;0.886023;27.787;0.148106;7.72151;5.17414;1.90327;0.0646166;1.19826;218.83;0.222061;22.1509;408.458;0.0267287;0.0990273;
