k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;8.98527;68.9599;0.0853505;0.928566;29.4422;0.165873;8.94568;6.2565;2.30002;0.0357236;0.909445;107.828;0.119586;17.4663;397.241;0.0240093;0.108046
10;9.68362;74;0.0858901;1.0506;33.5386;0.176619;9.64336;6.75947;2.37366;0.0537559;1.1987;136.061;0.154993;20.1581;464.415;0.030299;0.115833
100;10.4476;82.1475;0.0854729;1.10104;37.9004;0.17838;9.66944;6.78724;2.37219;0.0734326;1.42381;148.874;0.21703;24.8419;477.953;0.0308923;0.119105
1000;10.8434;87.9604;0.0848365;1.13773;38.1025;0.177612;9.67074;6.83572;2.36931;0.0853605;1.65123;151.773;0.306964;32.4068;483.364;0.0310158;0.120629
k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;9.84976;72.7984;0.0833944;0.928039;32.0286;0.157991;9.70632;6.88561;2.46682;0.0346298;0.922568;295.659;0.115969;19.048;427.107;0.0243118;0.11229;
10;11.8946;81.9751;0.0883492;1.17974;37.4337;0.176002;10.5973;7.7053;2.67516;0.0555998;1.28658;338.394;0.152865;22.8976;520.473;0.0302297;0.119881;
100;11.9137;88.7358;0.083912;1.13892;41.5868;0.17057;10.3615;7.45058;2.50332;0.0721731;1.48643;371.663;0.213195;27.7599;1002.41;0.0313187;0.121937;
1000;11.9921;93.1179;0.0835202;1.15491;43.0267;0.174599;10.8498;7.67718;2.58533;0.0889434;1.8089;363.048;0.308245;37.8851;572.756;0.0303894;0.119376;
