k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;4484268;1947696;37827;354203;9255972;40152;2424063;1656250;677483;15948;319911;84192171;52494;7441910;147196524;6839;31710
10;5048332;28010691;83156;450875;11276225;47786;2863561;1946752;729266;30558;496839;108636018;78092;9213442;190761912;11219;38464
100;5647540;31620804;114325;491248;13952848;49293;2871850;1971913;730349;51324;630093;114371361;126548;12133178;199124401;11840;40459
1000;5865568;2022478;169793;518701;14032848;49330;2872564;1976589;730349;62076;821938;115249130;214327;17120184;202707870;11887;41688
k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1;4484264;25318465;37612;354201;9255953;40153;2424058;1656251;677482;15948;319910;35917137;52494;7441910;143946046;6839;31710;
10;5048326;28010839;83379;450876;11276279;47786;2863561;1946752;729266;30558;496841;48754213;78092;9213442;186543497;11219;38464;
100;5647539;31620812;114328;491248;13952848;49293;2871850;1971913;730349;51324;630097;54611585;126548;12133178;194720152;11840;40459;
k;j3;j4;p2;p3;p4;s1;s2;s3;s4;t2;t3;t4;ti2;ti3;ti4;tr1;tr2
1000;5865561;34739640;169792;518701;14032848;49330;2872564;1976589;730349;62076;821938;55508030;214327;17120184;198223988;11887;41688;
